Year	Month	Day	Hour	SWC_5cm
2019	11	27	13	0.27778189
2019	11	27	14	0.276571232
2019	11	27	15	0.276545142
2019	11	27	16	0.276068389
2019	11	27	17	0.276055244
2019	11	27	18	0.275509421
2019	11	27	19	0.274839358
2019	11	27	20	0.274340401
2019	11	27	21	0.275251052
2019	11	27	22	0.285660123
2019	11	27	23	0.287982104
2019	11	28	0	0.293300415
2019	11	28	1	0.307598883
2019	11	28	2	0.310507556
2019	11	28	3	0.300864057
2019	11	28	4	0.29779864
2019	11	28	5	0.296288621
2019	11	28	6	0.292747805
2019	11	28	7	0.290311401
2019	11	28	8	0.28934609
2019	11	28	9	0.28823452
2019	11	28	10	0.287451638
2019	11	28	11	0.285872434
2019	11	28	12	0.285083377
2019	11	28	13	0.310848976
2019	11	28	14	0.309436996
2019	11	28	15	0.315601408
2019	11	28	16	0.318532418
2019	11	28	17	0.333572359
2019	11	28	18	0.311936037
2019	11	28	19	0.303952841
2019	11	28	20	0.306668278
2019	11	28	21	0.30961847
2019	11	28	22	0.30256381
2019	11	28	23	0.299606315
2019	11	29	0	0.303080768
2019	11	29	1	0.305472318
2019	11	29	2	0.300678292
2019	11	29	3	0.29816353
2019	11	29	4	0.295488399
2019	11	29	5	0.294100017
2019	11	29	6	0.292754461
2019	11	29	7	0.291779867
2019	11	29	8	0.291070236
2019	11	29	9	0.291883031
2019	11	29	10	0.290724622
2019	11	29	11	0.289253505
2019	11	29	12	0.288753903
2019	11	29	13	0.287889959
2019	11	29	14	0.288101827
2019	11	29	15	0.2871287
2019	11	29	16	0.286820034
2019	11	29	17	0.286146658
2019	11	29	18	0.285726546
2019	11	29	19	0.286356741
2019	11	29	20	0.286001078
2019	11	29	21	0.285488432
2019	11	29	22	0.285679218
2019	11	29	23	0.285220452
2019	11	30	0	0.284633075
2019	11	30	1	0.284786716
2019	11	30	2	0.284982129
2019	11	30	3	0.29169749
2019	11	30	4	0.290724074
2019	11	30	5	0.292110074
2019	11	30	6	0.294909844
2019	11	30	7	0.304777327
2019	11	30	8	0.308142022
2019	11	30	9	0.303369694
2019	11	30	10	0.300510977
2019	11	30	11	0.297983762
2019	11	30	12	0.296060411
2019	11	30	13	0.29424574
2019	11	30	14	0.292598597
2019	11	30	15	0.289614908
2019	11	30	16	0.287733815
2019	11	30	17	0.287207289
2019	11	30	18	0.286468028
2019	11	30	19	0.285746643
2019	11	30	20	0.284563667
2019	11	30	21	0.283734402
2019	11	30	22	0.283741197
2019	11	30	23	0.283393333
2019	12	1	0	0.282750311
2019	12	1	1	0.282080471
2019	12	1	2	0.281726504
2019	12	1	3	0.281763838
2019	12	1	4	0.281501142
2019	12	1	5	0.281321461
2019	12	1	6	0.281206142
2019	12	1	7	0.28091562
2019	12	1	8	0.280980215
2019	12	1	9	0.281646423
2019	12	1	10	0.281426176
2019	12	1	11	0.281111335
2019	12	1	12	0.280273532
2019	12	1	13	0.27786878
2019	12	1	14	0.276536806
2019	12	1	15	0.27603347
2019	12	1	16	0.275323028
2019	12	1	17	0.274478308
2019	12	1	18	0.273998293
2019	12	1	19	0.273303994
2019	12	1	20	0.272869409
2019	12	1	21	0.273205237
2019	12	1	22	0.273472825
2019	12	1	23	0.273433776
2019	12	2	0	0.273440573
2019	12	2	1	0.273076521
2019	12	2	2	0.27310049
2019	12	2	3	0.272834035
2019	12	2	4	0.272858321
2019	12	2	5	0.273099426
2019	12	2	6	0.273254107
2019	12	2	7	0.273038935
2019	12	2	8	0.273113231
2019	12	2	9	0.273197606
2019	12	2	10	0.273594325
2019	12	2	11	0.273129454
2019	12	2	12	0.272335126
2019	12	2	13	0.271199883
2019	12	2	14	0.270417812
2019	12	2	15	0.269105569
2019	12	2	16	0.267892776
2019	12	2	17	0.266993782
2019	12	2	18	0.26625278
2019	12	2	19	0.265827419
2019	12	2	20	0.266048427
2019	12	2	21	0.266263177
2019	12	2	22	0.266219522
2019	12	2	23	0.266068119
2019	12	3	0	0.266139579
2019	12	3	1	0.266274774
2019	12	3	2	0.26595743
2019	12	3	3	0.26640112
2019	12	3	4	0.266144172
2019	12	3	5	0.266182958
2019	12	3	6	0.266127213
2019	12	3	7	0.266541309
2019	12	3	8	0.266834688
2019	12	3	9	0.266766298
2019	12	3	10	0.26760371
2019	12	3	11	0.267544016
2019	12	3	12	0.26633488
2019	12	3	13	0.26513872
2019	12	3	14	0.264385435
2019	12	3	15	0.263151076
2019	12	3	16	0.261611774
2019	12	3	17	0.260717458
2019	12	3	18	0.259811143
2019	12	3	19	0.258947412
2019	12	3	20	0.258380323
2019	12	3	21	0.257480395
2019	12	3	22	0.257130923
2019	12	3	23	0.256929916
2019	12	4	0	0.256771337
2019	12	4	1	0.256757368
2019	12	4	2	0.25722305
2019	12	4	3	0.257485877
2019	12	4	4	0.256983914
2019	12	4	5	0.257274009
2019	12	4	6	0.257530211
2019	12	4	7	0.257269921
2019	12	4	8	0.257625889
2019	12	4	9	0.257577968
2019	12	4	10	0.258118202
2019	12	4	11	0.257330514
2019	12	4	12	0.256576555
2019	12	4	13	0.254136499
2019	12	4	14	0.252455311
2019	12	4	15	0.251421667
2019	12	4	16	0.249417258
2019	12	4	17	0.24822657
2019	12	4	18	0.248168661
2019	12	4	19	0.247868857
2019	12	4	20	0.247912148
2019	12	4	21	0.248105474
2019	12	4	22	0.248733325
2019	12	4	23	0.248011259
2019	12	5	0	0.248235807
2019	12	5	1	0.248218488
2019	12	5	2	0.24845635
2019	12	5	3	0.24799216
2019	12	5	4	0.24805335
2019	12	5	5	0.248122946
2019	12	5	6	0.248634967
2019	12	5	7	0.248532616
2019	12	5	8	0.248522257
2019	12	5	9	0.247956478
2019	12	5	10	0.247634396
2019	12	5	11	0.247145323
2019	12	5	12	0.246795028
2019	12	5	13	0.245676726
2019	12	5	14	0.24458941
2019	12	5	15	0.244188879
2019	12	5	16	0.243781209
2019	12	5	17	0.243644197
2019	12	5	18	0.24372808
2019	12	5	19	0.243697611
2019	12	5	20	0.244140528
2019	12	5	21	0.243739793
2019	12	5	22	0.2437622
2019	12	5	23	0.244012244
2019	12	6	0	0.243955729
2019	12	6	1	0.244074808
2019	12	6	2	0.244431438
2019	12	6	3	0.244701872
2019	12	6	4	0.244954287
2019	12	6	5	0.245204951
2019	12	6	6	0.245137598
2019	12	6	7	0.245517078
2019	12	6	8	0.245436024
2019	12	6	9	0.245205942
2019	12	6	10	0.245257369
2019	12	6	11	0.24576331
2019	12	6	12	0.245397557
2019	12	6	13	0.245057156
2019	12	6	14	0.245513121
2019	12	6	15	0.246161813
2019	12	6	16	0.245752653
2019	12	6	17	0.245905884
2019	12	6	18	0.245572663
2019	12	6	19	0.24523649
2019	12	6	20	0.245254168
2019	12	6	21	0.245637229
2019	12	6	22	0.254298764
2019	12	6	23	0.265180945
2019	12	7	0	0.268574156
2019	12	7	1	0.301592626
2019	12	7	2	0.300306192
2019	12	7	3	0.305008141
2019	12	7	4	0.305209353
2019	12	7	5	0.30966284
2019	12	7	6	0.312578306
2019	12	7	7	0.302868203
2019	12	7	8	0.298959546
2019	12	7	9	0.296265693
2019	12	7	10	0.30131521
2019	12	7	11	0.301799738
2019	12	7	12	0.298691003
2019	12	7	13	0.297037173
2019	12	7	14	0.293839271
2019	12	7	15	0.292216578
2019	12	7	16	0.290234778
2019	12	7	17	0.289994513
2019	12	7	18	0.288787742
2019	12	7	19	0.287963607
2019	12	7	20	0.287184949
2019	12	7	21	0.286123465
2019	12	7	22	0.28527471
2019	12	7	23	0.290949863
2019	12	8	0	0.321097058
2019	12	8	1	0.306547592
2019	12	8	2	0.301331146
2019	12	8	3	0.298048894
2019	12	8	4	0.295315154
2019	12	8	5	0.293045066
2019	12	8	6	0.291922132
2019	12	8	7	0.290594615
2019	12	8	8	0.289985512
2019	12	8	9	0.289993317
2019	12	8	10	0.28963989
2019	12	8	11	0.289196526
2019	12	8	12	0.287696206
2019	12	8	13	0.284545901
2019	12	8	14	0.282837555
2019	12	8	15	0.281840214
2019	12	8	16	0.281530637
2019	12	8	17	0.281009613
2019	12	8	18	0.280201279
2019	12	8	19	0.279601411
2019	12	8	20	0.278976662
2019	12	8	21	0.278835804
2019	12	8	22	0.278638776
2019	12	8	23	0.278559011
2019	12	9	0	0.278395586
2019	12	9	1	0.278273512
2019	12	9	2	0.278493914
2019	12	9	3	0.27876491
2019	12	9	4	0.278425625
2019	12	9	5	0.278204173
2019	12	9	6	0.278114347
2019	12	9	7	0.27832279
2019	12	9	8	0.277790876
2019	12	9	9	0.278268648
2019	12	9	10	0.278559397
2019	12	9	11	0.278056614
2019	12	9	12	0.278044569
2019	12	9	13	0.27759744
2019	12	9	14	0.300550137
2019	12	9	15	0.309255239
2019	12	9	16	0.312593995
2019	12	9	17	0.311811457
2019	12	9	18	0.316668251
2019	12	9	19	0.308731707
2019	12	9	20	0.324572212
2019	12	9	21	0.312550347
2019	12	9	22	0.305857592
2019	12	9	23	0.31794625
2019	12	10	0	0.316201338
2019	12	10	1	0.310602476
2019	12	10	2	0.304868899
2019	12	10	3	0.301361615
2019	12	10	4	0.304386233
2019	12	10	5	0.306019019
2019	12	10	6	0.304112945
2019	12	10	7	0.301059629
2019	12	10	8	0.298628978
2019	12	10	9	0.296950117
2019	12	10	10	0.296054155
2019	12	10	11	0.295095255
2019	12	10	12	0.293733829
2019	12	10	13	0.291460918
2019	12	10	14	0.28881689
2019	12	10	15	0.287122207
2019	12	10	16	0.286016318
2019	12	10	17	0.285309241
2019	12	10	18	0.284791727
2019	12	10	19	0.283937052
2019	12	10	20	0.283291148
2019	12	10	21	0.282744084
2019	12	10	22	0.282192631
2019	12	10	23	0.281601276
2019	12	11	0	0.281116124
2019	12	11	1	0.280640558
2019	12	11	2	0.279853328
2019	12	11	3	0.279308055
2019	12	11	4	0.278706263
2019	12	11	5	0.278010264
2019	12	11	6	0.276635733
2019	12	11	7	0.27619304
2019	12	11	8	0.275222164
2019	12	11	9	0.27433183
2019	12	11	10	0.273281704
2019	12	11	11	0.272006569
2019	12	11	12	0.271007373
2019	12	11	13	0.26989144
2019	12	11	14	0.269092995
2019	12	11	15	0.267757493
2019	12	11	16	0.266290795
2019	12	11	17	0.265263172
2019	12	11	18	0.264812154
2019	12	11	19	0.264397105
2019	12	11	20	0.264613262
2019	12	11	21	0.264989558
2019	12	11	22	0.264716581
2019	12	11	23	0.265160079
2019	12	12	0	0.265465465
2019	12	12	1	0.265196175
2019	12	12	2	0.265320063
2019	12	12	3	0.26555164
2019	12	12	4	0.265499775
2019	12	12	5	0.265724695
2019	12	12	6	0.265795643
2019	12	12	7	0.266197994
2019	12	12	8	0.26588447
2019	12	12	9	0.265669137
2019	12	12	10	0.266250276
2019	12	12	11	0.265982729
2019	12	12	12	0.268199246
2019	12	12	13	0.283771998
2019	12	12	14	0.30323539
2019	12	12	15	0.303113426
2019	12	12	16	0.2988429
2019	12	12	17	0.295705261
2019	12	12	18	0.307094655
2019	12	12	19	0.311690598
2019	12	12	20	0.306535043
2019	12	12	21	0.310814302
2019	12	12	22	0.312705958
2019	12	12	23	0.310010085
2019	12	13	0	0.305417718
2019	12	13	1	0.306594517
2019	12	13	2	0.308468645
2019	12	13	3	0.30658281
2019	12	13	4	0.304338783
2019	12	13	5	0.30144938
2019	12	13	6	0.299096442
2019	12	13	7	0.297465107
2019	12	13	8	0.296368549
2019	12	13	9	0.295179587
2019	12	13	10	0.294569077
2019	12	13	11	0.302275052
2019	12	13	12	0.311330441
2019	12	13	13	0.316573449
2019	12	13	14	0.32099633
2019	12	13	15	0.320114795
2019	12	13	16	0.320281405
2019	12	13	17	0.3202596
2019	12	13	18	0.315549767
2019	12	13	19	0.31715061
2019	12	13	20	0.319998761
2019	12	13	21	0.320049797
2019	12	13	22	0.315014282
2019	12	13	23	0.308044994
2019	12	14	0	0.304389085
2019	12	14	1	0.301807039
2019	12	14	2	0.299727078
2019	12	14	3	0.298357269
2019	12	14	4	0.296733944
2019	12	14	5	0.295671948
2019	12	14	6	0.294348006
2019	12	14	7	0.293136532
2019	12	14	8	0.291703854
2019	12	14	9	0.290629246
2019	12	14	10	0.289826533
2019	12	14	11	0.28923062
2019	12	14	12	0.28778209
2019	12	14	13	0.28527544
2019	12	14	14	0.282924775
2019	12	14	15	0.281260176
2019	12	14	16	0.28025717
2019	12	14	17	0.278836915
